# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,URL:31
0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-account-management-papi,account-management-papi,master,5/13/2023,50,80,798,1,3,5,1,5,2.00%,8853,,0.00%,0,0,0,5,0,1,1,1,1,0.00%,,0.00%,,14404,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-account-management-papi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi,account-management-papi,develop,5/30/2023,216,79,631,3,3,4,1,5,1.50%,6359,,0.00%,0,,,,,,,,,,,,,14404,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi,account-management-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-cris-sapi,accounts-cris-sapi1.1.8-1.0.5-mule-application,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-cris-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi,accounts-papi,develop,5/30/2023,52,6,225,2,3,4,1,5,0.80%,2104,,0.00%,0,,,,,,,,,,,,,9256,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi,accounts-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi&branch=master
0b71ec1d-a9ef-423b-a599-66c396fc16ba:accounts-papi,accounts-papi,master,5/30/2023,52,6,225,2,3,4,1,5,0.80%,2104,,0.00%,0,0,0,5,0,1,1,1,1,0.00%,,0.00%,,9256,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:accounts-papi&branch=master
6d006d9e-f49c-4289-997d-55365c7a6185:admsne-outages-sapi,admsne-outages-sapi,master,12/1/2022,90,66,164,3,3,4,1,5,1.50%,1765,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3888,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:admsne-outages-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-troublecalls-req-sapi,admsne-troublecalls-req-sapi,develop,4/28/2023,18,3,115,3,3,4,1,5,1.10%,1074,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3255,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-troublecalls-req-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-troublecalls-req-sapi,admsne-troublecalls-req-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-troublecalls-req-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-vehicles-app,admsne-vehicles-app,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-vehicles-app&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-weatherdata-sapi,admsne-weatherdata-sapi,develop,4/28/2023,15,1,73,2,3,4,1,5,0.90%,674,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,2463,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-weatherdata-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-weatherdata-sapi,admsne-weatherdata-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-weatherdata-sapi&branch=master
6d006d9e-f49c-4289-997d-55365c7a6185:admsny-outages-sapi,admsny-outages-sapi,master,12/1/2022,90,66,191,4,3,4,1,5,1.30%,1977,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,5181,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:admsny-outages-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-req-sapi,admsny-troublecalls-req-sapi,develop,4/28/2023,18,3,151,3,3,4,1,5,1.10%,1272,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3815,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-req-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-req-sapi,admsny-troublecalls-req-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-req-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-res-api,admsny-troublecalls-res-api,develop,11/11/2022,0,0,37,1,1,1,1,5,0.50%,242,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,,,1522,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-res-api&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-res-api,admsny-troublecalls-res-api,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-res-api&branch=master
