BU,Product Name,# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,iz_component_dw:31,ncloc_language_distribution:32,iz_error_loggers:33,functions:34,burned_budget:35,major_violations:36,new_conditions_to_cover:37,new_blocker_violations:38,iz_global_exception_conf:39,business_value:40,iz_trace_loggers:41,classes:42,comment_lines:43,complexity:44,blocker_violations:45,reopened_issues:46,iz_component_flows:47,info_violations:48,comment_lines_density:49,alert_status:50,lines:51,files:52,iz_info_loggers:53,iz_debug_loggers:54,skipped_tests:55,lines_to_cover:56,new_minor_violations:57,new_uncovered_conditions:58,duplicated_files:59,tests:60,iz_component_batch:61,projects:62,iz_component_ws:63,new_security_remediation_effort:64,confirmed_issues:65,iz_component_ftp:66,minor_violations:67,iz_component_loggers:68,security_remediation_effort:69,test_execution_time:70,uncovered_conditions:71,test_success_density:72,test_failures:73,iz_scripting_components:74,team_size:75,violations:76,iz_component_vm:77,open_issues:78,iz_api_no_of_apis:79,duplicated_blocks:80,new_uncovered_lines:81,iz_client:82,new_violations:83,wont_fix_issues:84,directories:85,conditions_to_cover:86,iz_business_group:87,effort_to_reach_maintainability_rating_a:88,quality_gate_details:89,new_line_coverage:90,new_lines_to_cover:91,false_positive_issues:92,iz_component_file:93,generated_ncloc:94,iz_listener_http:95,new_critical_violations:96,iz_listener_https:97,duplications_data:98,new_duplicated_lines:99,cognitive_complexity:100,new_branch_coverage:101,reliability_remediation_effort:102,generated_lines:103,iz_muit_exists:104,iz_component_database:105,uncovered_lines:106,releasability_rating:107,iz_warn_loggers:108,new_lines:109,critical_violations:110,line_coverage:111,statements:112,duplicated_lines:113,new_reliability_remediation_effort:114,new_duplicated_blocks:115,new_major_violations:116,new_technical_debt:117,new_info_violations:118,test_errors:119,iz_mule_version:120,branch_coverage:121,URL:122
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-account-management-papi,account-management-papi,master,5/13/2023,50,80,798,1,3,5,1,5,2.00%,8853,,0.00%,0,0,0,5,0,1,1,1,1,0.00%,,0.00%,,14404,75,api=6619;mule=7785,0,,,361,0,0,No,,0,,,,2,0,25,180,,OK,16566,283,1,0,,,1,0,0,,0,,0,0,0,0,352,86,1164,,,,,0,,928,0,928,21,0,0,,5,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,1,0,1,,0,,,750,,Yes,0,,,0,76,33,,,0,0,0,3,62,1,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-account-management-papi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi,account-management-papi,develop,5/30/2023,216,79,631,3,3,4,1,5,1.50%,6359,,0.00%,0,,,,,,,,,,,,,14404,75,api=6619;mule=7785,0,,,361,,,No,,0,,,,0,0,25,180,,OK,16566,283,1,0,,,,,0,,0,,0,,0,0,352,86,1162,,,,,0,,926,0,926,21,0,,,,0,,,NA,0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",,,0,0,,1,,1,,,,,3240,,Yes,0,,,0,,33,,,0,,,,,,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi&branch=develop
,,56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi,account-management-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:account-management-papi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-account-management-papi,account-management-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-account-management-papi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-cris-sapi,accounts-cris-sapi1.1.8-1.0.5-mule-application,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-cris-sapi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi,accounts-papi,develop,5/30/2023,52,6,225,2,3,4,1,5,0.80%,2104,,0.00%,0,,,,,,,,,,,,,9256,31,api=3921;mule=5335,0,,,87,,,No,,0,,,,0,0,13,71,,OK,10714,208,0,0,,,,,0,,0,,0,,0,0,113,34,67,,,,,0,,283,0,283,10,0,,,,0,,,NA,0,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",,,0,0,,1,,1,,,,,780,,Yes,0,,,0,,12,,,0,,,,,,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi&branch=develop
,,56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi,accounts-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-papi&branch=master
,,0b71ec1d-a9ef-423b-a599-66c396fc16ba:accounts-papi,accounts-papi,master,5/30/2023,52,6,225,2,3,4,1,5,0.80%,2104,,0.00%,0,0,0,5,0,1,1,1,1,0.00%,,0.00%,,9256,31,api=3921;mule=5335,0,,,87,0,0,No,,0,,,,0,0,13,71,,OK,10714,208,0,0,,,0,0,0,,0,,0,0,0,0,113,34,67,,,,,0,,283,0,283,10,0,0,,5,0,,,NA,0,"{""level"":""OK"",""conditions"":[{""metric"":""new_reliability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_security_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_maintainability_rating"",""op"":""GT"",""period"":1,""error"":""1"",""actual"":""1"",""level"":""OK""},{""metric"":""new_duplicated_lines_density"",""op"":""GT"",""period"":1,""error"":""3"",""actual"":""0.0"",""level"":""OK""}],""ignoredConditions"":false}",,0,0,0,,1,0,1,,0,,,780,,Yes,0,,,0,2,12,,,0,0,0,0,15,5,,4.x,,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:accounts-papi&branch=master
,,56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-accounts-papi,accounts-papi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:c2c-accounts-papi&branch=master
,,6d006d9e-f49c-4289-997d-55365c7a6185:admsne-outage-sapi,admsne-outages-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=6d006d9e-f49c-4289-997d-55365c7a6185:admsne-outage-sapi&branch=master
