2023-05-02 22:27:24,859 | sonar-tools | INFO    | MainThread      | Set debug level to INFO
2023-05-02 22:27:24,860 | sonar-tools | INFO    | MainThread      | sonar-tools version 2.6
2023-05-02 22:27:24,889 | sonar-tools | INFO    | MainThread      | Loading config file C:\Program Files\Python311\Lib\site-packages\sonar\audit\sonar-audit.properties
2023-05-02 22:27:24,891 | sonar-tools | INFO    | MainThread      | --- Auditing projects ---
2023-05-02 22:27:24,897 | sonar-tools | INFO    | MainThread      | Listing projects
2023-05-02 22:27:25,095 | sonar-tools | CRITICAL | MainThread      | For request URL https://sonarqube-us.nationalgrid.com/api/projects/search?qualifiers=TRK&ps=500&p=1
HTTP error 403 - Insufficient permissions to perform operation: Insufficient privileges
2023-05-04 10:10:36,993 | sonar-tools | INFO    | MainThread      | Set debug level to INFO
2023-05-04 10:10:36,993 | sonar-tools | INFO    | MainThread      | sonar-tools version 2.6
2023-05-04 10:10:37,000 | sonar-tools | INFO    | MainThread      | Loading config file C:\Program Files\Python311\Lib\site-packages\sonar\audit\sonar-audit.properties
2023-05-04 10:10:37,002 | sonar-tools | INFO    | MainThread      | --- Auditing projects ---
2023-05-04 10:10:37,002 | sonar-tools | INFO    | MainThread      | Listing projects
2023-05-04 10:10:37,213 | sonar-tools | CRITICAL | MainThread      | For request URL https://sonarqube-us.nationalgrid.com/api/projects/search?qualifiers=TRK&ps=500&p=1
HTTP error 403 - Insufficient permissions to perform operation: Insufficient privileges
2023-05-04 10:12:42,405 | sonar-tools | INFO    | MainThread      | Set debug level to INFO
2023-05-04 10:12:42,405 | sonar-tools | INFO    | MainThread      | sonar-tools version 2.6
2023-05-04 10:12:42,731 | sonar-tools | CRITICAL | MainThread      | For request URL https://sonarqube-us.nationalgrid.com/api/system/info
HTTP error 403 - Insufficient permissions to perform operation: Insufficient privileges
2023-05-05 10:04:54,589 | sonar-tools | INFO    | MainThread      | Set debug level to INFO
2023-05-05 10:04:54,589 | sonar-tools | INFO    | MainThread      | sonar-tools version 2.6
2023-05-05 10:04:55,083 | sonar-tools | CRITICAL | MainThread      | For request URL https://sonarqube-us.nationalgrid.com/api/system/info
HTTP error 403 - Insufficient permissions to perform operation: Insufficient privileges
2023-05-10 14:22:57,340 | sonar-tools | INFO    | MainThread      | Set debug level to INFO
2023-05-10 14:22:57,340 | sonar-tools | INFO    | MainThread      | sonar-tools version 2.6
2023-05-10 14:22:58,259 | sonar-tools | INFO    | MainThread      | Exporting 117 metrics
2023-05-10 14:22:58,260 | sonar-tools | INFO    | MainThread      | Listing projects
2023-05-10 14:22:58,851 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-account-management-papi'
2023-05-10 14:22:59,109 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:accounts-cris-sapi'
2023-05-10 14:22:59,311 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:admsne-outages-sapi'
2023-05-10 14:22:59,525 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-troublecalls-req-sapi'
2023-05-10 14:22:59,739 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-vehicles-app'
2023-05-10 14:22:59,942 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsne-weatherdata-sapi'
2023-05-10 14:23:00,152 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:admsny-outages-sapi'
2023-05-10 14:23:00,357 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-req-sapi'
2023-05-10 14:23:00,574 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-troublecalls-res-api'
2023-05-10 14:23:00,786 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:admsny-vehicles-app'
2023-05-10 14:23:00,994 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:admsny-weatherdata-sapi'
2023-05-10 14:23:01,209 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:alarms-papi'
2023-05-10 14:23:01,436 | sonar-tools | INFO    | MainThread      | Getting measures for project 'AMI_Data_Pipeline'
2023-05-10 14:23:01,645 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:apiid-poc-api'
2023-05-10 14:23:01,878 | sonar-tools | INFO    | MainThread      | Getting measures for project 'ARM_AutoRabitD'
2023-05-10 14:23:02,076 | sonar-tools | INFO    | MainThread      | Getting measures for project '00d750000000mwkeam'
